,ucid,difficulty,subject,learning_stage,level1_id,level2_id,level3_id,level4_id,content_name
0,dfeeBaa8zDhWS6nu7zeXKwLyi4zqEajI3tJM9/fSBPM=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,bo3jsx1beVLEZ+2sckxdZNYnlLpVS7hb5lWU2baQ66k=,KPJMQebU0O24+NzlQ4udb2BXLlKV1Hte61+hV5Xb+oU=,[Основной] Задача о разнице сумм 1
1,jZvYpEa6VB/WrlKKmQHnfbv/xJ4OypBzq0epVcn500Q=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,bo3jsx1beVLEZ+2sckxdZNYnlLpVS7hb5lWU2baQ66k=,KPJMQebU0O24+NzlQ4udb2BXLlKV1Hte61+hV5Xb+oU=,[Основной] Возраст Вопрос 1
2,wUssm1kBiL8949UikpoP4M7jA0qR8JoaLthb513afBA=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,bo3jsx1beVLEZ+2sckxdZNYnlLpVS7hb5lWU2baQ66k=,KPJMQebU0O24+NzlQ4udb2BXLlKV1Hte61+hV5Xb+oU=,[Базовый] Проблема с проточной водой
3,CspTRnYx/rdKxnW0RuyjMXwx1vrcR55tQZDzjzV5mRc=,2.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,bo3jsx1beVLEZ+2sckxdZNYnlLpVS7hb5lWU2baQ66k=,KPJMQebU0O24+NzlQ4udb2BXLlKV1Hte61+hV5Xb+oU=,【Общие】Как решить проблему: Количественные отношения
4,u5SYmgbMwMzEurXJkN8SzYMacAqwjR02xCA0/prnVeI=,2.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,bo3jsx1beVLEZ+2sckxdZNYnlLpVS7hb5lWU2baQ66k=,KPJMQebU0O24+NzlQ4udb2BXLlKV1Hte61+hV5Xb+oU=,【Общие】Призвать проблему 2
5,T4f/arzfSalcvrX0iElU649bu8yFkRYxheJCrrNEkLQ=,2.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,bo3jsx1beVLEZ+2sckxdZNYnlLpVS7hb5lWU2baQ66k=,KPJMQebU0O24+NzlQ4udb2BXLlKV1Hte61+hV5Xb+oU=,【Общие】Задача о курице и кролике 2
6,kSGW7jiMb919zyekSOS3O3twBsFg+jh/QoZTlNlm2xU=,2.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,bo3jsx1beVLEZ+2sckxdZNYnlLpVS7hb5lWU2baQ66k=,KPJMQebU0O24+NzlQ4udb2BXLlKV1Hte61+hV5Xb+oU=,【Общие】Вопрос о возрасте 2
7,AftCWTe9HWCQtI7qOgUITUl2eWnLhe6p09IHSLTFB2o=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,J7h/J2DAyPA0bQF0yKIT3xSLnNWYeu5zj9dAlyH7Wi0=,[Основная] формула столбца и решение задач: x+a=b
8,cYgMGBbf7LdGQPgpluIyEfy/nofh1pO0STOjHrLThpc=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,5IoPxwjdrLU8uqRpL1O93XHYQ3UDaj4xuPhV7bmx1ac=,[Базовый] Двухшаговая задача на сложение и деление
9,h3/qpdMuhf5rZwqcHX//oZtCPV6xOKgXZyeHSGnWAsA=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,5IoPxwjdrLU8uqRpL1O93XHYQ3UDaj4xuPhV7bmx1ac=,[Базовый] Двухшаговая задача на вычитание и деление
10,qTFR2TIte0fD2b2N9J1h/QspauQCDlkyzaanvg5SsNc=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,+0nvuJnCA9OBBjgmRoBVmQh5y1Sq06vj0sVVpLppNC8=,[Базовый] Двухшаговая задача непрерывного умножения
11,i63OzZpTkqfe5ND+D9DAeVXqzKrB/7OasjU2PnkdHfs=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,+0nvuJnCA9OBBjgmRoBVmQh5y1Sq06vj0sVVpLppNC8=,[Базовый] Двухшаговая задача на умножение и деление
12,b6cw1Qxc9pcHLkL8JmxW99AJEkZtsztt9ZvSboO7usA=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=,【Базовый】Полное применение двухшаговых правил расчета
13,JZfQaPLUEZBed+XMOOWufLndpgukChiiKsqH/d+cxlI=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=,"[Основной] Четыре вычисления: сначала умножить и разделить, затем сложить и вычесть"
14,dIoqlJEhZ/uEUpnudTQ+Ve8Uw1oiqSMobNqXb2YQfcs=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=,"[Базовый] Только вычисления сложения, вычитания или умножения и деления: со скобками"
15,VkqQZJ473iP+Q3cuRr/ss9TxWBXBIsPwC0fwGbVIgjU=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=,[Базовый] Вычисление умножения: включая скобки
16,LCz/rIBPDjV+9tcB8P8On0xwPups1k9t8fcMBsc7rRs=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=,【Базовый】 Расчет непрерывного деления: содержит круглые скобки
17,pAUvW4XKSYhg1jlJZSgI+zcE64Vc1ZTK8rqKzNKk0+Q=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=,[Основные] Четыре вычисления со скобками
18,EedOkesRVDnFwtBDegS+2DXjAMOSPgOvhPbGLmqAjcc=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=,"[Базовый] Только вычисления сложения, вычитания или умножения и деления: без круглых скобок"
19,h6xIB8Vz3g7+BOulVtddhzDp6mlqvqglH70sh8SfyOA=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=,[Базовый] Упрощение вычисления непрерывного умножения
20,7fbJaPJmoN2eKJr5ET2A4DTPY+IMpCxnc/1KKVl828E=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,hrIJkFqlrDvYArci4txnU7TcZ/aGIkhgW4CsjIvhZD4=,"[Базовый] Двухэтапная комбинация задач: непрерывное сложение, непрерывное вычитание, комплексные упражнения на сложение и вычитание."
21,apFEy2v1Cp11xrY8+93ALiMxibD9kdla4EDA1KJdSm0=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,hrIJkFqlrDvYArci4txnU7TcZ/aGIkhgW4CsjIvhZD4=,[Базовый] Последовательное добавление
22,74uvGh9hBfx+jQdqw9n6TzJCCnr8Q5wDHJqUead5+RU=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,hrIJkFqlrDvYArci4txnU7TcZ/aGIkhgW4CsjIvhZD4=,[Основной] Последовательное вычитание
23,ZfijBfJmW6aiU5BUvf9fG0QF1XKo3pbEYQ8mYC94hT8=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,hrIJkFqlrDvYArci4txnU7TcZ/aGIkhgW4CsjIvhZD4=,[Основные] Сложение и вычитание: первое вычисление со скобками
24,OkgyFAFUhVF5xeu+iDV16+5dlnfzfYQJxXIidJx7dzE=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,yAzQR919g6E/LcFFdUOg/UDlVYQtRNHvS19zOJV2V/o=,"[Базовый] Двухэтапная комбинация задач: непрерывное умножение, непрерывное деление, комплексные упражнения на умножение и деление."
25,01c8/1Mc1V3LZtYFNre8TolslWChJSztpFHSNAvPlpI=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,yAzQR919g6E/LcFFdUOg/UDlVYQtRNHvS19zOJV2V/o=,[Базовый] Конкатенация последовательных умножений: включая круглые скобки
26,TIFqzAEaJ9dzg/KCrFFPRw7C0KKV+dPmxhnS9zS0w+E=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,yAzQR919g6E/LcFFdUOg/UDlVYQtRNHvS19zOJV2V/o=,[Базовый] Двухшаговая прикладная задача непрерывного деления
