,timestamp_TW,uuid,ucid,upid,problem_number,exercise_problem_repeat_session,is_correct,total_sec_taken,total_attempt_cnt,used_hint_cnt,is_hint_used,level
3317,2019-06-02 19:15:00 UTC,Dq4uCsNL9/pg7BcNMwuUB156IW9ELoXMZEBIxeBRhAs=,rzWpkZfVptJjhCtmA5xHgJIsAZQKyQ0mwHzaE2K/I9Y=,rmdqcNIKqoQBDP6UuEnjhgIL6vm+qw6zm5NOsyeFI1s=,36,3,0,7,1,0,1,2
7415,2018-09-29 17:15:00 UTC,7d++UMRHGrnoRmVXey3umeKlOwA22bCuSMbVGO9QKII=,gwyAKrDd3r/aPElAq/97BWk1H4+bsSURhZI+O3WDwFY=,flfeUQqShTQd40KGf0leEUYD60rtQecY6MMGr4xdres=,4,1,0,11,1,0,1,0
10638,2018-10-16 16:45:00 UTC,9SgNlDjJycgGdjrzBt7AZBN6AFHupfn3ewBDfAWsNdQ=,RKkxBe+3Z33I75tZfZ8EY7LtVnN5QEfE8O0y6bPFCeo=,STZD5cyjUf3J2AETFRoMb+LREPAPoAY3Cc8b63jV3Qw=,2,1,1,14,8,4,0,0
14824,2019-06-03 20:00:00 UTC,4qTG7XqzmOWUpeIhEJ/eN05YJf0C9lxbxGPa7bUeGBQ=,bZml5gkJWB1WJFn9WFcAJB4dwFXSFI3h0uK0BwtBHzg=,MSas2P953+W2pAXMCsguOxNRn9VrA+etQEsGy8YUR7M=,12,1,1,62,2,0,1,0
20722,2019-05-12 09:45:00 UTC,QCNXGnKbcSS9WfPo0QmpjND7JQWh9RPbBdqiuEiJ9Lk=,5XOh9hPgSIw+4ArOqH8SRFzrFrG107tCCpwFQcpZ9T8=,DgKbAW6IXGzG5ed4FZrC4MPSTrb64l7Dxj2oJYLJfjo=,2,1,0,24,1,0,1,0
22897,2019-06-03 20:00:00 UTC,4qTG7XqzmOWUpeIhEJ/eN05YJf0C9lxbxGPa7bUeGBQ=,K4GS8qPmRPsosinHUMiie4K4rcAVcF05OI/bcQqHJdc=,bIHqZe2EAOEA3pitIu9pvsMUkbB9DzRoyB/ija6fC+w=,13,1,1,35,1,1,0,0
23678,2019-06-26 09:15:00 UTC,pRTY7OiXkQgj8/7ZJPx1LJDhVrgPIGK+79NqlRxu1R8=,zpLoCKHOugDScAlFt0XHJJKFwU+r3YZaBlTf5G7qWpE=,UrE7izbSlGeix1M3JsuSTkOxPRVkT07EST26IOz0SZg=,2,1,1,9,1,1,0,0
26891,2019-05-11 20:15:00 UTC,QCNXGnKbcSS9WfPo0QmpjND7JQWh9RPbBdqiuEiJ9Lk=,8Y/LLPa4qJ3MkBetE9ZNbGl20pEX6YeQQlmiJUN8LNA=,IUw4dOsbWTsiXBEAH28TQI/q73r8sFRTCm/rQbYixKw=,3,1,0,105,1,0,1,0
28511,2019-06-04 17:30:00 UTC,9SgNlDjJycgGdjrzBt7AZBN6AFHupfn3ewBDfAWsNdQ=,I/598ZmMIMeI5NdTNKVBHbbhAMhZA3QRabeZhQ/ddL8=,m4wbMrxpA7Z14j2GhtuHmuZg167XPhCTlJOZoad9Tpg=,6,1,1,96,4,1,0,0
30239,2019-06-29 10:45:00 UTC,pRTY7OiXkQgj8/7ZJPx1LJDhVrgPIGK+79NqlRxu1R8=,zpLoCKHOugDScAlFt0XHJJKFwU+r3YZaBlTf5G7qWpE=,dIEEbAt/EO3tpW2gq9LcpfwidAHpPYE8n7TGN4hOhaM=,58,5,0,13,1,0,1,2
36611,2019-05-01 22:00:00 UTC,DSlKztiNNxdail3Q5DfWzOe6Wt5/PNdBVPYDDP5twfk=,KDeSPE8wIGcwIv9i0sJixfdUBqBN8tnZI9NwJHm7n80=,qpf+MZ/e4617EtkH3dt7gVqncQMrdA4RBTdcvaKT8hY=,12,1,0,46,1,0,1,0
37082,2019-05-28 10:00:00 UTC,IAWYR42lDG0XufInjBh/g1uYDhBM7uuf9sGJeEO+LO4=,AftCWTe9HWCQtI7qOgUITUl2eWnLhe6p09IHSLTFB2o=,Kq+bWrlTh73m76dCBK6A+duvhnkcNJd+8hRTCZkhDCg=,5,1,0,19,1,0,1,0
40550,2019-06-03 20:00:00 UTC,4qTG7XqzmOWUpeIhEJ/eN05YJf0C9lxbxGPa7bUeGBQ=,3sOEuxGBKh09ZpcaBhWXk4+LY+clD2Zpu/qTcPUVkVc=,OAfWmlptWbrtHG9CEgLEV1hzmTV0B+UDAVIcGMrZWTs=,11,1,0,16,1,0,1,0
42636,2019-01-10 14:45:00 UTC,egBmoioJTU2qgNm2Qn715iDOxSJzywPYbfBqbRxxkk8=,e0+hFijqTJTOfBIL9insE6M7fh8UL201r+EDBi9M2Vw=,eE+wlL53hhAthk3BOf3K0OsdN8yg3EoJsrFLPwwln0E=,3,1,1,22,3,4,0,0
