source,target
10905611,13971838
11043385,11043675
11043385,11269332
11043385,16160110
11043675,11269332
11043675,16160110
11102871,11242417
11118078,11383153
11118078,12880418
11118078,12895369
11118078,14588746
11118078,15973465
11141998,12702487
11269332,16160110
11272953,14371042
11324274,14286348
11324274,14550744
11324274,16103626
11383153,12880418
11383153,12895369
11383153,14588746
11383153,15973465
11383312,14655435
11383312,15966726
11383312,16108423
12880418,12895369
12880418,14588746
12880418,15973465
12895369,14588746
12895369,15973465
1416119,11383312
1416119,14655435
1416119,1528255
1416119,15966726
1416119,16108423
1416119,4891841
1416119,6239068
1416119,6423381
1416119,7840599
1416119,7843618
1416119,7899224
1416119,8030407
1416119,8142557
1416119,9485413
1416119,9524938
1416119,9564174
14286348,14550744
14286348,16103626
14550744,16103626
14588746,15973465
14655435,15966726
14655435,16108423
1493650,11141998
1493650,12702487
1493650,3035035
1493650,4697503
1493650,4737443
1493650,4777348
1493650,6429511
1493650,6441007
1493650,6556768
1493650,8145215
1513033,11324274
1513033,14286348
1513033,14550744
1513033,1547996
1513033,16103626
1513033,3136956
1513033,4642101
1513033,7998422
1515672,11272953
1515672,14371042
1515672,4702177
1515672,7860797
1528255,11383312
1528255,14655435
1528255,15966726
1528255,16108423
1528255,4891841
1528255,6239068
1528255,6423381
1528255,7840599
1528255,7843618
1528255,7899224
1528255,8030407
1528255,8142557
1528255,9485413
1528255,9524938
1528255,9564174
1547996,11324274
1547996,14286348
1547996,14550744
1547996,16103626
1547996,3136956
1547996,4642101
1547996,7998422
15966726,16108423
2822657,10905611
2822657,13971838
2822657,4421513
2822657,7542923
2822657,7560939
2822657,8874264
2822657,9266148
2836969,15890501
2836969,2841028
2836969,4320318
2836969,6142963
2836969,8877758
2836969,9184685
2841028,15890501
2841028,4320318
2841028,6142963
2841028,8877758
2841028,9184685
3035035,11141998
3035035,12702487
3035035,4697503
3035035,4737443
3035035,4777348
3035035,6429511
3035035,6441007
3035035,6556768
3035035,8145215
3136489,11043385
3136489,11043675
3136489,11269332
3136489,16160110
3136956,11324274
3136956,14286348
3136956,14550744
3136956,16103626
3136956,4642101
3136956,7998422
3237298,11118078
3237298,11383153
3237298,12880418
3237298,12895369
3237298,14588746
3237298,15973465
3237298,4707972
3237298,5022317
3237298,6330559
3237298,6376319
3237298,6480133
3237298,8033292
3237298,8062595
3237298,8262710
3237298,9619996
3237298,9762627
37082,11043385
37082,11043675
37082,11269332
37082,16160110
37082,3136489
4320318,15890501
4320318,6142963
4320318,8877758
4320318,9184685
4421513,10905611
4421513,13971838
4421513,7542923
4421513,7560939
4421513,8874264
4421513,9266148
4558511,11102871
4558511,11242417
4558511,6398468
4558511,6408431
4642101,11324274
4642101,14286348
4642101,14550744
4642101,16103626
4642101,7998422
4697503,11141998
4697503,12702487
4697503,4737443
4697503,4777348
4697503,6429511
4697503,6441007
4697503,6556768
4697503,8145215
4702177,11272953
4702177,14371042
4702177,7860797
4707972,11118078
4707972,11383153
4707972,12880418
4707972,12895369
4707972,14588746
4707972,15973465
4707972,5022317
4707972,6330559
4707972,6376319
4707972,6480133
4707972,8033292
4707972,8062595
4707972,8262710
4707972,9619996
4707972,9762627
4737443,11141998
4737443,12702487
4737443,4777348
4737443,6429511
4737443,6441007
4737443,6556768
4737443,8145215
4777348,11141998
4777348,12702487
4777348,6429511
