idpr,exercise_problem_repeat_session,is_correct,is_hint_used,idcn,difficulty,learning_stage
3317,3,0,1,429,0.0,0.0
61231,2,0,1,429,0.0,0.0
1643806,1,0,1,429,0.0,0.0
1652167,3,0,1,429,0.0,0.0
3073631,1,1,0,429,0.0,0.0
3139551,2,0,1,429,0.0,0.0
3263922,2,0,1,429,0.0,0.0
4620464,1,0,1,429,0.0,0.0
4679499,1,0,1,429,0.0,0.0
4708449,1,1,0,429,0.0,0.0
4711265,1,0,1,429,0.0,0.0
4758964,1,0,1,429,0.0,0.0
4831100,2,0,1,429,0.0,0.0
4898138,1,0,1,429,0.0,0.0
6178264,2,0,1,429,0.0,0.0
6364588,2,0,1,429,0.0,0.0
6477487,2,0,1,429,0.0,0.0
8129791,1,0,1,429,0.0,0.0
9548627,3,0,1,429,0.0,0.0
9889934,1,0,1,429,0.0,0.0
11142544,2,0,1,429,0.0,0.0
11144198,1,0,1,429,0.0,0.0
11305334,1,0,1,429,0.0,0.0
11311311,1,0,1,429,0.0,0.0
12789547,2,1,0,429,0.0,0.0
12878638,1,1,0,429,0.0,0.0
12974916,2,0,1,429,0.0,0.0
14467786,1,0,1,429,0.0,0.0
14484295,2,0,1,429,0.0,0.0
14755068,1,0,1,429,0.0,0.0
15906530,1,1,0,429,0.0,0.0
15908725,2,0,1,429,0.0,0.0
15969277,2,0,1,429,0.0,0.0
16084181,1,1,0,429,0.0,0.0
16179659,2,0,1,429,0.0,0.0
16193511,1,1,1,429,0.0,0.0
1245542,1,0,1,429,0.0,0.0
5926507,1,0,1,429,0.0,0.0
7815830,1,0,1,429,0.0,0.0
10975968,1,0,1,429,0.0,0.0
15719557,1,0,1,429,0.0,0.0
4156578,1,0,1,429,0.0,0.0
7347485,1,1,0,429,0.0,0.0
8912595,1,0,1,429,0.0,0.0
174857,2,0,1,281,0.0,0.0
176442,1,0,1,281,0.0,0.0
632738,2,0,1,281,0.0,0.0
2255023,1,0,1,281,0.0,0.0
2471546,1,1,0,281,0.0,0.0
3946871,1,0,1,281,0.0,0.0
5333395,1,0,1,281,0.0,0.0
5567523,1,0,1,281,0.0,0.0
6662629,1,0,1,281,0.0,0.0
7081719,1,1,0,281,0.0,0.0
7120853,1,0,1,281,0.0,0.0
7208795,2,0,1,281,0.0,0.0
7336359,1,1,0,281,0.0,0.0
8682339,2,1,0,281,0.0,0.0
8960983,1,0,1,281,0.0,0.0
10148726,1,0,1,281,0.0,0.0
10625939,1,0,1,281,0.0,0.0
11525599,1,0,1,281,0.0,0.0
11766141,2,0,1,281,0.0,0.0
11855026,1,0,1,281,0.0,0.0
11927953,1,0,1,281,0.0,0.0
12068258,2,0,1,281,0.0,0.0
13635749,2,0,1,281,0.0,0.0
15571292,2,0,1,281,0.0,0.0
11523706,1,0,1,281,0.0,0.0
12333329,1,0,1,281,0.0,0.0
412577,1,1,0,282,0.0,0.0
2124592,1,1,0,282,0.0,0.0
3709575,1,1,0,282,0.0,0.0
5511777,1,1,0,282,0.0,0.0
11522908,1,1,0,282,0.0,0.0
15096975,1,0,1,282,0.0,0.0
537200,1,1,1,282,0.0,0.0
1593913,1,0,1,282,0.0,0.0
1619847,1,1,1,282,0.0,0.0
3395444,1,0,1,282,0.0,0.0
4635057,2,0,1,282,0.0,0.0
4837219,1,0,1,282,0.0,0.0
7608445,1,1,1,282,0.0,0.0
8081177,2,0,1,282,0.0,0.0
8090316,1,0,1,282,0.0,0.0
8096896,1,0,1,282,0.0,0.0
9451232,1,1,0,282,0.0,0.0
9566507,1,1,1,282,0.0,0.0
9688046,1,0,1,282,0.0,0.0
10502095,1,1,0,282,0.0,0.0
10766315,1,1,1,282,0.0,0.0
10887710,1,1,0,282,0.0,0.0
11009306,1,1,1,282,0.0,0.0
11075181,1,0,1,282,0.0,0.0
11116304,1,0,1,282,0.0,0.0
16025654,1,0,1,282,0.0,0.0
16118916,1,0,1,282,0.0,0.0
7367935,1,0,1,282,0.0,0.0
11819597,1,0,1,282,0.0,0.0
1314084,1,0,1,433,0.0,0.0
1415663,1,0,1,433,0.0,0.0
3037714,1,0,1,433,0.0,0.0
6335305,1,0,1,433,0.0,0.0
6356295,1,1,1,433,0.0,0.0
6453776,1,0,1,433,0.0,0.0
8048506,1,0,1,433,0.0,0.0
9884243,1,1,0,433,0.0,0.0
12667831,1,0,1,433,0.0,0.0
12767598,1,0,1,433,0.0,0.0
15990200,1,0,1,433,0.0,0.0
1624969,1,0,1,18,0.0,0.0
3022792,1,1,0,18,0.0,0.0
3257954,1,1,0,18,0.0,0.0
4669380,1,0,1,18,0.0,0.0
5194709,1,0,1,18,0.0,0.0
9608925,1,0,1,18,0.0,0.0
11085979,1,1,0,18,0.0,0.0
11279934,1,0,1,18,0.0,0.0
12755242,1,0,1,18,0.0,0.0
13160264,1,0,1,18,0.0,0.0
2565021,1,0,1,18,0.0,0.0
12379062,1,0,1,18,0.0,0.0
1693941,1,0,1,431,0.0,0.0
7978487,1,0,1,431,0.0,0.0
8015331,1,1,0,431,0.0,0.0
9498728,1,1,0,431,0.0,0.0
11183071,1,0,1,431,0.0,0.0
11261267,1,0,1,431,0.0,0.0
11273080,1,0,1,431,0.0,0.0
11299639,1,1,0,431,0.0,0.0
12702561,1,1,0,431,0.0,0.0
15905831,1,1,0,431,0.0,0.0
3153362,1,0,1,454,2.0,0.0
4713030,1,0,1,454,2.0,0.0
4831351,1,0,1,454,2.0,0.0
8111607,1,0,1,454,2.0,0.0
9635964,1,1,0,454,2.0,0.0
11198028,1,0,1,454,2.0,0.0
5948707,1,0,1,454,2.0,0.0
7674147,1,0,1,454,2.0,0.0
9273967,1,0,1,454,2.0,0.0
12579125,1,0,1,454,2.0,0.0
13014555,1,1,1,454,2.0,0.0
13272484,1,0,1,454,2.0,0.0
2726808,1,0,1,454,2.0,0.0
10971129,1,1,0,454,2.0,0.0
15884684,1,0,1,454,2.0,0.0
3709583,1,1,0,279,0.0,0.0
3890124,1,1,0,279,0.0,0.0
5439347,1,1,0,279,0.0,0.0
1487815,1,0,1,279,0.0,0.0
1524199,1,0,1,279,0.0,0.0
6210750,1,0,1,279,0.0,0.0
8078420,1,0,1,279,0.0,0.0
9416626,1,0,1,279,0.0,0.0
4562786,1,1,0,430,0.0,0.0
4938872,1,1,0,430,0.0,0.0
6410236,1,0,1,430,0.0,0.0
7998392,1,0,1,430,0.0,0.0
9602230,1,0,1,430,0.0,0.0
12709993,1,1,0,430,0.0,0.0
12869175,1,0,1,430,0.0,0.0
12966315,1,0,1,430,0.0,0.0
12994008,1,0,1,430,0.0,0.0
5281966,1,0,1,318,2.0,0.0
8795971,1,0,1,318,2.0,0.0
13905360,1,0,1,318,2.0,0.0
13954213,1,0,1,318,2.0,0.0
15293871,1,1,1,318,2.0,0.0
15474996,1,0,1,318,2.0,0.0
9719789,1,1,1,452,2.0,0.0
1082142,1,1,0,452,2.0,0.0
1086400,1,0,1,452,2.0,0.0
8886077,1,0,1,452,2.0,0.0
10970467,1,1,0,452,2.0,0.0
11797169,1,1,0,307,1.0,0.0
11797674,1,1,0,307,1.0,0.0
13473679,1,1,0,307,1.0,0.0
7415,1,0,1,274,0.0,0.0
141712,1,0,1,274,0.0,0.0
3368597,1,0,1,274,0.0,0.0
3568295,1,0,1,274,0.0,0.0
6863378,1,0,1,274,0.0,0.0
6877622,1,1,0,274,0.0,0.0
8307611,1,0,1,274,0.0,0.0
8433853,1,0,1,274,0.0,0.0
11566263,1,0,1,274,0.0,0.0
13349837,1,0,1,274,0.0,0.0
16077087,1,0,1,274,0.0,0.0
695991,1,0,1,274,0.0,0.0
2121985,1,0,1,274,0.0,0.0
3518033,1,0,1,274,0.0,0.0
9083617,1,0,1,274,0.0,0.0
10443987,1,0,1,274,0.0,0.0
43950,1,1,0,333,0.0,0.0
1082789,2,1,0,333,0.0,0.0
1325855,1,1,0,333,0.0,0.0
2161480,2,1,0,333,0.0,0.0
2164750,1,0,1,333,0.0,0.0
2166569,1,0,1,333,0.0,0.0
2948039,1,1,0,333,0.0,0.0
3542537,1,0,1,333,0.0,0.0
5406975,1,0,1,333,0.0,0.0
7528048,1,1,0,333,0.0,0.0
7589949,2,1,0,333,0.0,0.0
7651537,1,0,1,333,0.0,0.0
7731170,1,1,0,333,0.0,0.0
9193120,2,0,1,333,0.0,0.0
9212382,2,0,1,333,0.0,0.0
9250268,2,1,0,333,0.0,0.0
10504185,1,1,0,333,0.0,0.0
10849883,1,1,0,333,0.0,0.0
10851912,1,0,1,333,0.0,0.0
10951459,1,1,0,333,0.0,0.0
12532991,2,1,0,333,0.0,0.0
13019066,2,0,1,333,0.0,0.0
13512441,1,1,1,333,0.0,0.0
13980493,2,1,0,333,0.0,0.0
14157705,1,0,1,333,0.0,0.0
14216446,2,1,0,333,0.0,0.0
14638715,1,1,0,333,0.0,0.0
15370086,1,1,0,333,0.0,0.0
413599,1,1,0,51,1.0,0.0
896277,1,1,0,51,1.0,0.0
3418536,1,0,1,51,1.0,0.0
3711029,1,1,0,51,1.0,0.0
11763980,1,1,0,51,1.0,0.0
13438528,1,1,0,51,1.0,0.0
15520474,1,1,0,51,1.0,0.0
474881,1,1,0,51,1.0,0.0
512045,1,1,0,51,1.0,0.0
512058,1,1,0,51,1.0,0.0
611302,1,0,1,51,1.0,0.0
750421,2,0,1,51,1.0,0.0
860351,1,1,0,51,1.0,0.0
2412499,1,0,1,51,1.0,0.0
3755278,1,1,0,51,1.0,0.0
5446135,1,1,0,51,1.0,0.0
5592234,1,1,0,51,1.0,0.0
7142312,1,1,0,51,1.0,0.0
7344344,1,1,0,51,1.0,0.0
10566841,1,0,1,51,1.0,0.0
10755250,1,0,1,51,1.0,0.0
13680929,1,1,0,51,1.0,0.0
13682144,1,1,0,51,1.0,0.0
15017060,1,1,0,51,1.0,0.0
1081415,1,1,0,343,1.0,0.0
1081689,1,1,0,343,1.0,0.0
1289003,1,0,1,343,1.0,0.0
2948573,1,1,0,343,1.0,0.0
4448047,1,1,0,343,1.0,0.0
4468116,1,1,0,343,1.0,0.0
4468857,1,1,0,343,1.0,0.0
6108599,1,1,0,343,1.0,0.0
6189573,1,1,0,343,1.0,0.0
7547979,1,1,0,343,1.0,0.0
7812604,1,1,0,343,1.0,0.0
8646824,1,1,0,343,1.0,0.0
9229562,1,1,0,343,1.0,0.0
9432354,1,1,0,343,1.0,0.0
12473714,2,1,0,343,1.0,0.0
14155108,1,1,0,343,1.0,0.0
398565,1,0,1,343,1.0,0.0
1224413,1,1,0,343,1.0,0.0
2635240,1,0,1,343,1.0,0.0
5966364,1,1,0,343,1.0,0.0
14054540,1,1,0,343,1.0,0.0
1122095,1,1,0,410,1.0,0.0
2765762,1,1,0,410,1.0,0.0
5965357,1,1,0,410,1.0,0.0
7629112,1,1,0,410,1.0,0.0
9168185,1,1,0,410,1.0,0.0
10504216,1,1,0,410,1.0,0.0
12359941,1,0,1,410,1.0,0.0
12676363,1,1,0,410,1.0,0.0
14237599,1,1,0,410,1.0,0.0
15635624,1,1,0,410,1.0,0.0
15737202,1,1,0,410,1.0,0.0
1122674,1,1,0,450,1.0,0.0
2399589,1,1,0,450,1.0,0.0
2827056,1,1,0,450,1.0,0.0
6071932,1,0,1,450,1.0,0.0
6108827,1,1,0,450,1.0,0.0
7573728,1,0,1,450,1.0,0.0
8405194,1,0,1,450,1.0,0.0
10504148,1,1,0,450,1.0,0.0
10991118,1,1,0,450,1.0,0.0
12456905,1,0,1,450,1.0,0.0
12579168,1,0,1,450,1.0,0.0
14116929,1,0,1,450,1.0,0.0
15658798,1,0,1,450,1.0,0.0
2240557,1,0,1,450,1.0,0.0
2489624,1,0,1,450,1.0,0.0
3757022,1,1,1,450,1.0,0.0
4236225,1,0,1,450,1.0,0.0
8938335,1,1,0,450,1.0,0.0
8943894,1,0,1,450,1.0,0.0
8944691,2,0,1,450,1.0,0.0
9027979,1,0,1,450,1.0,0.0
9911157,1,1,0,450,1.0,0.0
13580303,1,0,1,450,1.0,0.0
14007133,1,0,1,450,1.0,0.0
15500293,1,1,0,450,1.0,0.0
15542181,1,0,1,450,1.0,0.0
2253428,1,1,0,613,1.0,0.0
584410,1,1,0,613,1.0,0.0
815131,1,0,1,613,1.0,0.0
4328166,1,0,1,331,0.0,0.0
6128096,1,1,0,331,0.0,0.0
8405392,1,0,1,331,0.0,0.0
4427305,1,1,0,332,0.0,0.0
6112474,1,0,1,332,0.0,0.0
7262946,1,1,0,332,0.0,0.0
7589064,1,1,0,332,0.0,0.0
7655014,1,0,1,332,0.0,0.0
8403478,1,1,0,332,0.0,0.0
11889671,1,1,0,332,0.0,0.0
12617885,1,0,1,332,0.0,0.0
13753623,1,0,1,332,0.0,0.0
14079397,1,0,1,332,0.0,0.0
14179597,1,0,1,332,0.0,0.0
15778540,1,1,0,332,0.0,0.0
15781553,1,0,1,332,0.0,0.0
10638,1,1,0,390,1.0,0.0
271326,1,1,0,390,1.0,0.0
360947,1,1,0,390,1.0,0.0
396179,2,1,0,390,1.0,0.0
1631759,2,1,0,390,1.0,0.0
1894207,1,1,0,390,1.0,0.0
2334065,2,1,0,390,1.0,0.0
3607095,1,1,0,390,1.0,0.0
3955347,1,1,0,390,1.0,0.0
4977841,2,1,0,390,1.0,0.0
5153869,2,1,0,390,1.0,0.0
6616182,2,1,0,390,1.0,0.0
6759373,2,1,0,390,1.0,0.0
6883280,1,1,0,390,1.0,0.0
8253424,2,1,0,390,1.0,0.0
8326691,1,1,0,390,1.0,0.0
8362942,1,1,0,390,1.0,0.0
8380740,2,1,0,390,1.0,0.0
8487486,1,1,0,390,1.0,0.0
8570894,2,0,1,390,1.0,0.0
10000832,3,1,0,390,1.0,0.0
10001053,1,1,0,390,1.0,0.0
10173307,2,0,1,390,1.0,0.0
11746211,3,1,0,390,1.0,0.0
11940135,2,0,1,390,1.0,0.0
13099981,1,1,0,390,1.0,0.0
13117607,1,1,0,390,1.0,0.0
13226943,3,1,0,390,1.0,0.0
14797118,2,1,0,390,1.0,0.0
14866755,1,1,0,390,1.0,0.0
14990135,1,1,0,390,1.0,0.0
15239013,2,0,1,390,1.0,0.0
15565595,1,1,0,390,1.0,0.0
15571117,2,0,1,390,1.0,0.0
339959,1,1,0,390,1.0,0.0
10164777,1,1,0,390,1.0,0.0
28511,1,1,0,639,0.0,0.0
1464779,1,1,0,639,0.0,0.0
2941569,1,1,1,639,0.0,0.0
2984773,1,0,1,639,0.0,0.0
3181735,1,1,1,639,0.0,0.0
4557837,1,0,1,639,0.0,0.0
4742304,1,1,1,639,0.0,0.0
4880193,1,1,0,639,0.0,0.0
8002769,1,1,0,639,0.0,0.0
14335925,1,0,1,639,0.0,0.0
14939929,1,0,1,639,0.0,0.0
16142871,1,0,1,639,0.0,0.0
110848,2,1,0,382,0.0,0.0
129070,2,1,0,382,0.0,0.0
379186,1,1,0,382,0.0,0.0
710877,4,1,0,382,0.0,0.0
1631009,2,1,0,382,0.0,0.0
1749905,1,1,0,382,0.0,0.0
1767723,1,1,0,382,0.0,0.0
1877760,2,1,0,382,0.0,0.0
1894201,2,1,0,382,0.0,0.0
2153150,2,1,0,382,0.0,0.0
2469849,2,0,1,382,0.0,0.0
3337845,2,1,0,382,0.0,0.0
3372594,4,1,0,382,0.0,0.0
3516294,3,1,0,382,0.0,0.0
3533742,3,1,0,382,0.0,0.0
3606068,2,1,0,382,0.0,0.0
3607350,3,1,0,382,0.0,0.0
3624833,2,1,0,382,0.0,0.0
3774276,1,1,0,382,0.0,0.0
3955902,3,1,0,382,0.0,0.0
3955977,1,1,0,382,0.0,0.0
4958957,1,1,0,382,0.0,0.0
5084388,3,1,0,382,0.0,0.0
5120342,2,1,0,382,0.0,0.0
5136713,3,1,0,382,0.0,0.0
5359228,4,1,0,382,0.0,0.0
5394953,5,1,0,382,0.0,0.0
5523271,3,0,1,382,0.0,0.0
6776260,4,1,0,382,0.0,0.0
6776946,1,1,0,382,0.0,0.0
6813992,4,1,0,382,0.0,0.0
6883598,2,1,0,382,0.0,0.0
7109291,3,1,0,382,0.0,0.0
7216058,5,1,0,382,0.0,0.0
7456635,1,1,0,382,0.0,0.0
8117191,1,1,0,382,0.0,0.0
8117687,3,1,0,382,0.0,0.0
