idcn,difficulty,learning_stage,prlm_resh,correct_cnt_first,hint_cnt
0,0.0,0.0,5,0,5
1,0.0,0.0,17,4,16
2,0.0,0.0,9,2,9
3,2.0,0.0,1,0,1
4,2.0,0.0,11,2,10
5,2.0,0.0,5,0,5
6,2.0,0.0,17,4,15
7,0.0,0.0,6,1,5
8,0.0,0.0,8,3,7
9,0.0,0.0,7,2,7
10,0.0,0.0,6,1,6
11,0.0,0.0,6,1,6
12,0.0,0.0,2,0,2
13,0.0,0.0,123,8,121
14,0.0,0.0,5,1,4
15,0.0,0.0,39,25,15
16,0.0,0.0,22,10,14
17,0.0,0.0,7,0,7
18,0.0,0.0,12,3,9
19,0.0,0.0,3,1,2
20,0.0,0.0,4,1,3
21,0.0,0.0,3,1,2
22,0.0,0.0,6,4,2
23,0.0,0.0,3,1,2
24,0.0,0.0,2,0,2
25,0.0,0.0,5,3,3
26,0.0,0.0,2,0,2
27,0.0,0.0,2,0,2
28,0.0,0.0,6,4,6
29,0.0,0.0,7,5,2
30,0.0,0.0,3,1,2
31,0.0,0.0,13,1,12
32,0.0,0.0,3,1,2
33,0.0,0.0,2,0,2
34,0.0,0.0,2,0,2
35,0.0,0.0,9,2,7
36,0.0,0.0,35,20,17
37,0.0,0.0,25,7,19
38,0.0,0.0,20,7,13
39,0.0,0.0,5,0,5
40,0.0,0.0,16,6,12
41,0.0,0.0,13,7,6
42,0.0,0.0,11,1,11
43,0.0,0.0,17,7,10
44,0.0,0.0,7,4,3
45,0.0,0.0,17,6,11
46,0.0,0.0,11,3,8
47,0.0,0.0,15,5,10
48,0.0,0.0,7,2,5
49,0.0,0.0,5,0,5
50,0.0,0.0,8,3,5
51,1.0,0.0,24,18,6
52,3.0,0.0,1,0,1
53,2.0,0.0,7,2,5
54,2.0,0.0,5,0,5
55,2.0,0.0,7,2,5
56,2.0,0.0,6,1,5
57,2.0,0.0,18,11,8
58,2.0,0.0,26,12,14
59,2.0,0.0,7,2,6
60,0.0,1.0,3,0,3
61,0.0,1.0,6,3,3
62,0.0,1.0,7,4,3
63,0.0,1.0,10,7,3
64,0.0,1.0,9,6,3
65,0.0,1.0,5,2,3
66,0.0,1.0,24,15,9
67,0.0,1.0,3,0,3
68,0.0,1.0,5,4,2
69,2.0,1.0,1,0,1
70,2.0,1.0,13,7,10
71,2.0,1.0,6,1,5
72,0.0,1.0,11,9,2
73,0.0,1.0,18,5,13
74,0.0,1.0,1,0,1
75,0.0,1.0,12,5,7
76,0.0,1.0,4,1,3
77,0.0,1.0,3,2,1
78,0.0,1.0,10,1,9
79,0.0,1.0,10,1,9
80,0.0,1.0,3,2,1
81,0.0,1.0,4,2,2
82,0.0,1.0,2,1,1
83,0.0,1.0,6,1,6
84,0.0,1.0,55,14,45
85,0.0,1.0,29,8,21
86,0.0,1.0,22,6,16
87,0.0,1.0,18,5,13
88,0.0,1.0,16,4,13
89,0.0,1.0,12,4,8
90,0.0,1.0,18,14,8
91,0.0,1.0,1,1,0
92,1.0,1.0,7,2,6
93,2.0,1.0,5,0,5
94,2.0,1.0,33,13,21
95,2.0,1.0,31,14,18
96,2.0,1.0,63,23,48
97,2.0,1.0,78,39,40
98,0.0,1.0,8,3,7
99,0.0,1.0,5,0,5
100,0.0,1.0,8,2,7
101,1.0,1.0,5,0,5
102,2.0,1.0,6,1,6
103,0.0,1.0,52,34,38
104,1.0,1.0,17,10,14
105,2.0,1.0,11,5,9
106,2.0,1.0,6,4,2
107,0.0,1.0,9,3,6
108,0.0,1.0,22,2,21
109,0.0,1.0,15,5,15
110,0.0,1.0,15,5,12
111,0.0,1.0,12,7,10
112,0.0,1.0,10,3,7
113,2.0,1.0,18,3,17
114,0.0,1.0,16,3,15
115,0.0,1.0,5,0,5
116,0.0,1.0,6,1,5
117,0.0,1.0,8,3,5
118,0.0,1.0,5,0,5
119,0.0,1.0,16,8,9
120,0.0,1.0,23,12,13
121,1.0,1.0,16,3,14
122,1.0,1.0,5,0,5
123,1.0,1.0,23,13,18
124,2.0,1.0,10,0,10
125,2.0,1.0,6,1,6
126,2.0,1.0,11,1,10
127,2.0,1.0,29,23,13
128,2.0,1.0,21,11,15
129,2.0,1.0,5,4,1
130,0.0,1.0,20,10,10
131,0.0,1.0,13,2,11
132,0.0,1.0,13,3,10
133,0.0,1.0,9,2,9
134,0.0,1.0,4,2,2
135,0.0,1.0,6,3,3
136,3.0,1.0,70,50,44
137,3.0,1.0,13,8,7
138,2.0,1.0,34,24,13
139,2.0,1.0,19,15,5
140,2.0,1.0,3,1,2
141,2.0,1.0,9,9,0
142,0.0,0.0,25,3,25
143,0.0,0.0,8,1,8
144,1.0,0.0,28,19,24
145,1.0,0.0,9,0,9
146,3.0,0.0,27,6,25
147,3.0,0.0,27,8,24
148,3.0,0.0,22,6,20
149,3.0,0.0,18,2,17
150,3.0,0.0,41,18,37
151,0.0,0.0,6,1,5
152,3.0,2.0,35,21,24
153,0.0,1.0,7,2,5
154,0.0,1.0,18,10,13
155,0.0,1.0,18,10,13
156,0.0,1.0,16,6,10
157,0.0,1.0,16,6,10
158,0.0,1.0,6,1,5
159,0.0,1.0,6,1,5
160,0.0,1.0,9,3,6
161,0.0,1.0,9,3,6
162,0.0,0.0,22,1,21
163,0.0,0.0,22,1,21
164,0.0,1.0,2,2,0
165,0.0,1.0,13,4,9
166,0.0,1.0,4,1,4
167,0.0,1.0,3,0,3
168,0.0,1.0,5,2,3
169,0.0,1.0,9,4,6
170,0.0,1.0,6,1,5
171,0.0,1.0,6,1,5
172,0.0,1.0,8,5,3
173,0.0,1.0,8,2,8
174,0.0,1.0,8,1,7
175,0.0,1.0,13,3,11
176,0.0,1.0,8,1,7
177,0.0,1.0,17,8,11
178,0.0,1.0,10,2,8
179,0.0,1.0,11,5,6
180,0.0,1.0,3,0,3
181,0.0,1.0,3,1,2
182,0.0,1.0,7,0,7
183,0.0,1.0,15,10,6
184,0.0,1.0,6,1,5
185,0.0,1.0,5,0,5
186,2.0,1.0,15,6,13
187,2.0,1.0,10,2,10
188,2.0,1.0,2,2,0
189,2.0,1.0,4,1,3
190,2.0,1.0,7,0,7
191,2.0,1.0,8,5,6
192,0.0,1.0,5,0,5
193,0.0,1.0,6,1,5
194,0.0,1.0,6,1,5
195,0.0,1.0,4,3,1
196,0.0,1.0,13,3,10
197,0.0,1.0,30,4,26
198,0.0,1.0,5,0,5
199,0.0,1.0,8,4,4
200,0.0,1.0,8,2,6
201,0.0,1.0,19,7,12
202,0.0,1.0,5,0,5
203,0.0,1.0,25,15,13
204,0.0,1.0,10,0,10
205,0.0,1.0,5,0,5
206,0.0,1.0,5,0,5
207,0.0,0.0,18,5,13
208,0.0,0.0,18,5,13
209,0.0,1.0,15,4,11
210,0.0,1.0,5,0,5
211,0.0,1.0,8,0,8
212,0.0,1.0,12,4,8
213,0.0,1.0,5,0,5
214,0.0,1.0,5,0,5
215,1.0,1.0,13,10,3
216,3.0,1.0,5,0,5
217,3.0,1.0,5,0,5
218,3.0,1.0,6,1,6
219,3.0,1.0,5,0,5
220,3.0,1.0,5,0,5
221,3.0,1.0,5,0,5
222,3.0,1.0,5,0,5
223,3.0,1.0,5,0,5
224,3.0,1.0,5,0,5
225,3.0,1.0,5,0,5
226,2.0,1.0,26,14,18
227,2.0,1.0,13,2,12
228,2.0,1.0,14,4,11
229,2.0,1.0,10,2,8
230,2.0,1.0,10,2,9
231,2.0,1.0,16,4,12
232,2.0,1.0,10,2,8
233,2.0,1.0,10,2,8
234,2.0,1.0,5,0,5
235,2.0,1.0,5,0,5
236,2.0,1.0,6,1,6
237,2.0,1.0,5,0,5
238,2.0,1.0,8,0,8
239,0.0,1.0,5,0,5
240,0.0,1.0,5,0,5
241,0.0,1.0,42,1,41
242,0.0,1.0,26,3,24
243,0.0,1.0,25,4,21
244,0.0,1.0,18,1,18
245,0.0,1.0,18,1,17
246,0.0,1.0,18,1,17
247,0.0,1.0,18,1,18
248,0.0,1.0,22,4,19
249,0.0,1.0,24,5,19
250,0.0,1.0,14,2,12
251,0.0,1.0,20,5,15
252,0.0,1.0,24,8,16
253,0.0,1.0,12,0,12
254,0.0,1.0,19,6,13
255,0.0,1.0,9,2,7
256,0.0,1.0,7,0,7
257,0.0,1.0,12,0,12
258,0.0,1.0,5,0,5
259,0.0,1.0,6,1,5
260,0.0,1.0,11,1,10
261,0.0,1.0,18,5,13
262,0.0,1.0,8,1,7
263,0.0,1.0,23,8,15
264,0.0,1.0,13,3,10
265,1.0,1.0,15,2,15
266,1.0,1.0,11,1,11
267,1.0,1.0,11,1,10
268,1.0,1.0,15,2,13
269,2.0,1.0,6,1,5
270,2.0,1.0,5,0,5
271,2.0,1.0,28,2,26
272,2.0,1.0,19,2,17
273,2.0,1.0,9,2,7
274,0.0,0.0,16,1,15
275,0.0,0.0,9,4,5
276,0.0,0.0,2,0,2
277,0.0,0.0,17,11,13
278,0.0,0.0,11,5,9
279,0.0,0.0,8,3,5
280,0.0,0.0,2,0,2
281,0.0,0.0,26,4,22
282,0.0,0.0,29,14,21
283,0.0,0.0,12,3,11
284,0.0,0.0,9,0,9
285,0.0,0.0,13,6,11
286,0.0,0.0,67,34,55
287,0.0,0.0,13,2,11
