id,gender,points,badges_cnt,user_grade,user_city,has_teacher_cnt,has_student_cnt,belongs_to_class_cnt,has_class_cnt,"('idcn', 'count')",uniq_zd,"('problem_number', 'sum')","('problem_number', 'mean')","('total_sec_taken', 'mean')","('total_attempt_cnt', 'sum')","('total_attempt_cnt', 'mean')","('used_hint_cnt', 'sum')","('used_hint_cnt', 'mean')"
"396,00",1,104820,3,5,11,1,0,1,0,576,83,2663,4.623263888888889,86.20486111111111,749,1.3003472222222223,192,0.3333333333333333
"1 313,00",0,126082,26,5,12,1,0,1,0,706,49,8852,12.538243626062323,83.46175637393767,1191,1.6869688385269122,160,0.22662889518413598
"2 469,00",0,3660,0,5,11,1,0,1,0,5,2,20,4.0,37.8,5,1.0,0,0.0
"11 426,00",1,1275,1,7,11,1,0,1,0,23,4,136,5.913043478260869,68.17391304347827,71,3.0869565217391304,27,1.173913043478261
"14 438,00",0,69397,7,6,10,0,0,0,0,253,29,1586,6.2687747035573125,58.78656126482213,328,1.2964426877470356,28,0.11067193675889328
"14 542,00",1,20175,2,8,1,1,0,1,0,117,18,547,4.6752136752136755,45.504273504273506,164,1.4017094017094016,49,0.4188034188034188
"14 897,00",0,5100,0,5,11,0,0,0,0,32,6,150,4.6875,65.875,47,1.46875,12,0.375
"15 411,00",1,6675,0,6,11,0,0,0,0,41,8,160,3.902439024390244,24.658536585365855,65,1.5853658536585367,29,0.7073170731707317
"16 065,00",0,43670,1,7,8,0,0,0,0,126,21,514,4.079365079365079,16.714285714285715,143,1.1349206349206349,5,0.03968253968253968
"16 632,00",1,1050,0,7,6,1,0,1,0,12,4,39,3.25,43.25,22,1.8333333333333333,8,0.6666666666666666
"20 237,00",0,32652,10,8,11,1,0,1,0,46,10,149,3.239130434782609,40.391304347826086,69,1.5,14,0.30434782608695654
"22 476,00",1,29338,10,6,0,1,0,0,0,103,10,891,8.650485436893204,31.95145631067961,136,1.3203883495145632,150,1.4563106796116505
"26 587,00",1,112855,24,5,12,1,0,1,0,236,28,1515,6.419491525423729,46.34322033898305,379,1.6059322033898304,99,0.4194915254237288
"29 478,00",0,23370,4,3,3,2,0,2,0,126,14,793,6.2936507936507935,80.60317460317461,161,1.2777777777777777,17,0.1349206349206349
"30 157,00",0,22350,1,2,11,0,0,0,0,11,2,66,6.0,12.090909090909092,12,1.0909090909090908,0,0.0
"31 182,00",0,30946,3,4,9,0,0,0,0,58,6,487,8.39655172413793,37.05172413793103,77,1.3275862068965518,10,0.1724137931034483
"31 206,00",2,5700,0,5,12,1,0,1,0,6,2,21,3.5,105.66666666666667,6,1.0,3,0.5
"31 481,00",0,51161,10,5,9,1,0,0,0,204,32,1006,4.931372549019608,98.11274509803921,273,1.338235294117647,158,0.7745098039215687
"32 290,00",0,63555,27,6,12,1,0,2,0,407,39,4383,10.769041769041769,58.056511056511056,1131,2.7788697788697787,530,1.3022113022113022
"32 400,00",0,277532,54,7,3,2,0,3,0,1050,98,11640,11.085714285714285,30.424761904761905,1687,1.6066666666666667,346,0.3295238095238095
